"time","mean_ssa","mean_jsf","mean_diff","abs_error","rel_error"
0,5,5,0,0,0
0.05,5.13,5.21,0.0800000000000001,0.0800000000000001,0.0155945419103314
0.1,5.31,5.4,0.0900000000000007,0.0900000000000007,0.016949152542373
0.15,5.37,5.59,0.22,0.22,0.0409683426443202
0.2,5.48,5.69,0.21,0.21,0.0383211678832117
0.25,5.68,5.87165826375,0.19165826375,0.19165826375,0.033742652068662
0.3,5.81,5.98835259365055,0.178352593650549,0.178352593650549,0.0306975204217812
0.35,6.03,6.29689642063938,0.266896420639376,0.266896420639376,0.0442614296251038
0.4,6.12,6.48973231379118,0.369732313791181,0.369732313791181,0.0604137767632649
0.45,6.26,6.4123956244815,0.152395624481495,0.152395624481495,0.0243443489587053
0.5,6.48,6.53061435001086,0.0506143500108642,0.0506143500108642,0.00781085648315806
0.55,6.57,6.75345649218506,0.18345649218506,0.18345649218506,0.0279233625852451
0.6,6.73,6.96933068960457,0.239330689604566,0.239330689604566,0.0355617666574393
0.65,6.81,7.10666573781491,0.296665737814913,0.296665737814913,0.0435632507804571
0.7,7.14,7.35132070509173,0.211320705091732,0.211320705091732,0.0295967374078056
0.75,7.15,7.58344443037606,0.433444430376061,0.433444430376061,0.0606215986539945
0.8,7.33,7.77795825425581,0.447958254255806,0.447958254255806,0.0611129951235752
0.85,7.45,8.03047829534617,0.580478295346166,0.580478295346166,0.0779165497108947
0.9,7.73,8.09784308463224,0.36784308463224,0.36784308463224,0.0475864275074049
0.95,7.89,8.252424761334,0.362424761334,0.362424761334,0.0459346972539924
1,8.05,8.53769995055828,0.487699950558282,0.487699950558282,0.0605838447898487
1.05,8.22,8.62621064570425,0.406210645704247,0.406210645704247,0.0494173534920009
1.1,8.47,8.79883604996242,0.328836049962421,0.328836049962421,0.0388236186496365
1.15,8.76,9.03455789934346,0.274557899343456,0.274557899343456,0.0313422259524493
1.2,9.07,9.4367736880357,0.366773688035698,0.366773688035698,0.0404381133446194
1.25,9.31,9.69342201835802,0.383422018358022,0.383422018358022,0.0411838902640196
1.3,9.46,9.96268402319185,0.502684023191852,0.502684023191852,0.0531378460033671
1.35,9.78,10.1931977567557,0.413197756755718,0.413197756755718,0.0422492593819752
1.4,10,10.3685671757676,0.368567175767621,0.368567175767621,0.0368567175767621
1.45,10.33,10.6244618352828,0.294461835282773,0.294461835282773,0.0285055019634824
1.5,10.6,10.880616926364,0.28061692636404,0.28061692636404,0.0264732949400038
1.55,10.92,11.2156166222154,0.295616622215414,0.295616622215414,0.0270711192504958
1.6,11.1,11.4696815378974,0.369681537897357,0.369681537897357,0.0333046430538159
1.65,11.29,11.7746905125451,0.484690512545129,0.484690512545129,0.0429309577099317
1.7,11.56,12.0920558955501,0.532055895550112,0.532055895550112,0.0460255965008747
1.75,11.78,12.3920952154575,0.61209521545749,0.61209521545749,0.051960544605899
1.8,12.24,12.7084483415238,0.468448341523834,0.468448341523834,0.0382719233271106
1.85,12.49,13.0062606068608,0.516260606860758,0.516260606860758,0.0413339156814058
1.9,12.82,13.3558407431887,0.535840743188709,0.535840743188709,0.0417972498587137
1.95,13.18,13.6463776402469,0.466377640246861,0.466377640246861,0.035385253432994
2,13.45,13.9842509580357,0.53425095803569,0.53425095803569,0.0397212608204974
2.05,13.73,14.383302443874,0.653302443873976,0.653302443873976,0.047582115358629
2.1,14.25,14.7918968365407,0.541896836540712,0.541896836540712,0.0380278481782956
2.15,14.65,15.1279828554629,0.477982855462905,0.477982855462905,0.0326268160725532
2.2,15.21,15.5131165502971,0.303116550297071,0.303116550297071,0.0199287672779139
2.25,15.55,15.8997429412666,0.349742941266634,0.349742941266634,0.0224915074769539
2.3,15.91,16.2770328592567,0.367032859256739,0.367032859256739,0.0230693186207881
2.35,16.29,16.6347166820315,0.344716682031514,0.344716682031514,0.0211612450602525
2.4,16.79,17.0219374946176,0.231937494617576,0.231937494617576,0.0138140258855018
2.45,17.24,17.4189361179587,0.178936117958724,0.178936117958724,0.0103791251716197
2.5,17.59,17.8971624540294,0.307162454029374,0.307162454029374,0.0174623339414084
2.55,18.12,18.3375241670211,0.217524167021086,0.217524167021086,0.0120046449790886
2.6,18.69,18.8085005400329,0.118500540032926,0.118500540032926,0.00634031781877614
2.65,19.12,19.2803596065319,0.16035960653193,0.16035960653193,0.00838700870982898
2.7,19.45,19.7333761681661,0.283376168166058,0.283376168166058,0.0145694688003114
2.75,20.04,20.2189347156692,0.178934715669243,0.178934715669243,0.00892887802740733
2.8,20.56,20.7679240877455,0.207924087745486,0.207924087745486,0.0101130392872318
2.85,21.13,21.2490085417017,0.119008541701707,0.119008541701707,0.0056322073687509
2.9,21.75,21.7724934935121,0.0224934935120586,0.0224934935120586,0.00103418360974982
2.95,22.43,22.3792420712868,-0.0507579287132174,0.0507579287132174,0.00226294822618
3,23.06,22.9730758510466,-0.0869241489534147,0.0869241489534147,0.00376947740474478
